,logreg,lasso
0,MIPattachSlopeC,bz
1,resolutionMIPele,meanTPCnclF
2,meanMIP,rmsTPCnclF
3,MIPattachSlopeA,meanTPCChi2
4,meanMIPele,rmsTPCChi2
5,rmsHVandPTGainCorrIROC,slopeATPCnclF
6,tpcConstrainPhiC,slopeCTPCnclF
7,yPull,slopeATPCnclFErr
8,offsetdRA,slopeCTPCnclFErr
9,electroMIPSeparation,meanTPCncl
10,dcaz_posA_2,rmsTPCncl
11,tpcItsMatchHighPtC,slopeATPCncl
12,mediumPtANeg,slopeCTPCncl
13,offsetdZA,slopeATPCnclErr
14,offsetdZCErrPos,slopeCTPCnclErr
15,qOverPtA,qOverPtA
16,slopedRANeg,qOverPtC
17,lambdaPullHighPt,qOverPt
18,dcar_negC_2,deltaPt
19,slopedZCErrPos,highPtCNeg
20,offsetdZAPos,deltaPtchi2
21,dcar_posC_0,mediumPtCNeg
22,highPtANeg,deltaPtA
23,dcar_posC_2,meanPtCNeg
24,offsetdRAErrNeg,deltaPtchi2A
25,slopedRCPos,highPtANeg
26,dcar_posA_1,deltaPtC
27,slopedZCchi2,mediumPtANeg
28,mediumPtCNeg,deltaPtchi2C
29,offsetdZCchi2,meanPtANeg
30,meanVertZ,deltaPt_Err
31,slopedRAPos,highPtCPos
32,dcaz_negC_0,deltaPtA_Err
33,tpcConstrainPhiA,mediumPtCPos
34,slopedRAErrNeg,deltaPtC_Err
35,qOverPt,meanPtCPos
36,deltaPtC,dcar_posA_0
37,interactionRate,highPtAPos
38,dcar_negA_0,dcar_posA_1
39,deltaPtA,mediumPtAPos
40,dcaz_posA_1,dcar_posA_2
41,slopedRC,meanPtAPos
42,dcar_negA_2,dcar_posA_chi2
43,dcaz_posC_0,errorMultNeg
44,deltaPtC_Err,dcar_posA_0_Err
45,dcar_negC_1,rmsMultNeg
46,offsetdRANeg,interactionRate
47,phiPull,rmsVDriftCorr
48,offsetdZCErr,medianVDriftCorr
49,slopedRA,errorMultPos
50,highPtCNeg,meanVDriftCorr
51,offsetdZCErrNeg,rmsMultPos
52,meanPtANeg,rmsHVandPTGainCorrOROC
53,meanPtCNeg,meanMultPos
54,offsetdZANeg,medianHVandPTGainCorrOROC
55,offsetdRAPos,rmsMult
56,slopeATPCncl,meanHVandPTGainCorrOROC
57,slopedZAPos,meanMult
58,slopedZCErr,rmsHVandPTGainCorrIROC
59,dcaz_negC_1,entriesMult.1
60,offsetdZAErrPos,medianHVandPTGainCorrIROC
61,rawClusterCounter,entriesMult
62,slopedZCErrNeg,meanHVandPTGainCorrIROC
63,slopedZCPos,rmsPTRelativeC
